"ID","Proceso","Sub Proceso","Rol","Descripción de Historia","Resultado Esperado","Responsable","Prioridad","Complejidad","Comentarios"
"HU-03.9","Análisis de Activos","Inclusión de disclaimer de responsabilidad","Visitante","Como usuario quiero ver claramente en el reporte que es una guía complementaria basada en IA y no reemplaza decisiones oficiales","Reporte incluye disclaimer visible sobre supervisión humana y decisiones Indecopi","Analista funcional","Alta","1","El disclaimer debe ser visible y mantenerse en la versión PDF."
"HU-03.10","Análisis de Activos","Visualización de reporte en navegador","Visitante","Como usuario quiero ver el reporte de diagnóstico en pantalla en el navegador antes de descargar","Sistema renderiza reporte con formato legible y profesional","Desarrollador frontend","Alta","2","Verificar visualización responsive en navegadores principales."
"HU-03.11","Análisis de Activos","Descarga de reporte en PDF","Visitante","Como usuario quiero descargar el reporte de diagnóstico en formato PDF para guardar localmente","Sistema genera archivo PDF descargable","Desarrollador backend","Alta","3","Comprobar que el PDF conserve formato y contenido completo."
"HU-03.12","Análisis de Activos","Orientación sobre modalidades de protección","Visitante","Como usuario quiero conocer los que el sistema me brinde informacion sobre la modalidad de protección recomendada","Sistema proporciona información detallada y enlaces a servicios de Indecopi","Especialista en propiedad intelectual","Alta","3","Mantener actualizados los requisitos y enlaces oficiales de Indecopi."
"HU-03.2","Análisis de Activos","Ingreso de descripción por PDF","Visitante","Como usuario quiero subir un archivo PDF con la descripción de mi creación para que el sistema lo procese","Sistema extrae texto del PDF y lo procesa como descripción","Desarrollador backend","Media","4","Definir tamaño máximo y tipos de PDF aceptados."
"HU-03.3","Análisis de Activos","Validación de longitud mínima de descripción","Visitante","Como usuario quiero que el sistema valide que mi descripción cumpla la longitud mínima requerida para garantizar análisis efectivo","Sistema rechaza descripciones muy cortas con mensaje claro","Desarrollador backend","Alta","1","Acordar el umbral mínimo de caracteres con el equipo funcional."
"HU-03.4","Análisis de Activos","Manejo de descripción inválida o no procesable","Visitante","Como usuario quiero recibir un mensaje específico si mi descripción no puede ser procesada para poder corregirla","Sistema muestra error descriptivo y permite reintentar","Especialista en IA y PLN","Alta","2","Mostrar una causa comprensible y permitir corregir o reintentar."
"HU-03.5","Análisis de Activos","Captura de consentimiento para predicción","Visitante","Como usuario quiero aceptar consentimiento específico para el tratamiento de información personal durante la predicción","Sistema muestra checkbox de consentimiento específico para predicción","Responsable de protección de datos","Alta","1","Registrar evidencia del consentimiento específico para la predicción."
"HU-03.6","Análisis de Activos","Revocación de consentimiento durante predicción","Visitante","Como usuario quiero poder revocar mi consentimiento en cualquier momento durante el procesamiento","Sistema detiene procesamiento inmediatamente si revoco consentimiento","Desarrollador backend","Alta","3","Detener el procesamiento y eliminar o proteger resultados temporales."
"HU-03.7","Análisis de Activos","Clasificación de modalidad de protección","Visitante","Como usuario quiero conocer la modalidad de protección más probable (patente, modelo de utilidad, diseño, marca, derechos de autor)","Sistema recomienda modalidad más viable basada en análisis","Especialista en IA y PLN","Alta","4","Validar categorías y recomendaciones con especialistas en propiedad intelectual."
"HU-04","Autenticación","Inicio de sesión del administrador","Administrador","Como administrador del sistema quiero acceder al panel administrativo ingresando mi DNI/Carné y contraseña para gestionar el sistema","Administrador autenticado y acceso al panel de control","Desarrollador backend","Alta","2","Aplicar política de contraseñas y control de sesión administrativa."
"HU-04.1","Autenticación","Validación de credenciales administrativas","Administrador","Como administrador quiero que el sistema valide mis credenciales de acceso para garantizar seguridad","Sistema verifica usuario y contraseña en base de datos","Especialista en seguridad","Alta","2","No almacenar contraseñas en texto plano ni exponerlas en registros."
"HU-04.2","Autenticación","Manejo de credenciales inválidas","Administrador","Como administrador quiero recibir un mensaje de error cuando ingrese credenciales incorrectas para poder reintentar el acceso","Sistema muestra error y permite nuevo intento en formulario de login","Desarrollador backend","Alta","1","Definir límite de intentos y mensajes sin revelar información sensible."
"HU-05","Gestión Administrativa","Acceso a cambio de contraseña","Administrador","Como administrador quiero acceder a la opción de cambio de contraseña desde el panel de administración","Sistema muestra opción en menú administrativo y abre formulario de cambio","Desarrollador frontend","Media","1","La opción debe estar disponible solo para administradores autenticados."
"HU-05.1","Gestión Administrativa","Confirmación de cambio exitoso","Administrador","Como administrador quiero recibir confirmación de que mi contraseña fue cambiada exitosamente","Sistema muestra mensaje de confirmación","Desarrollador frontend","Media","1","Notificar el cambio sin revelar información de seguridad."
"HU-05.2","Gestión Administrativa","Manejo de contraseña actual incorrecta","Administrador","Como administrador quiero recibir un mensaje de error si la contraseña actual es incorrecta","Sistema muestra error y mantiene formulario abierto para reintentar","Desarrollador backend","Media","1","Mantener el formulario abierto y evitar indicar datos sensibles."
"HU-06","Gestión Administrativa","Acceso a registro de predicciones","Administrador","Como administrador quiero acceder al registro de todas las predicciones realizadas en el sistema para supervisión","Sistema muestra tabla con lista de predicciones realizadas","Desarrollador backend","Media","2","Restringir el registro de predicciones a usuarios administrativos autorizados."
"HU-06.1","Gestión Administrativa","Selección de rango de fechas","Administrador","Como administrador quiero seleccionar un rango de fechas (inicio y fin) para filtrar predicciones por período","Sistema proporciona selectores de fecha para filtrado","Desarrollador frontend","Media","2","Validar que la fecha inicial no sea posterior a la fecha final."
"HU-06.2","Gestión Administrativa","Generación de archivo Excel (.xlsx)","Administrador","Como administrador quiero generar un archivo Excel con el registro de predicciones del período seleccionado","Sistema crea archivo con estructura de tabla y datos","Desarrollador backend","Media","3","Definir columnas exportables y aplicar filtros seleccionados."
"HU-06.3","Gestión Administrativa","Descarga de archivo Excel","Administrador","Como administrador quiero descargar el archivo Excel en mi dispositivo para análisis posterior","Sistema permite descargar archivo .xlsx generado","Desarrollador frontend","Media","2","Verificar nombre del archivo y compatibilidad con Excel."
"HU-07","Gestión Administrativa","Búsqueda de usuario por documento","Administrador","Como administrador quiero buscar un usuario ingresando su DNI o Carné de Extranjería para localizar sus datos","Sistema encuentra y muestra datos del usuario buscado","Desarrollador backend","Media","2","Restringir la búsqueda y registrar las consultas administrativas."
"HU-07.1","Gestión Administrativa","Visualización de datos de usuario","Administrador","Como administrador quiero ver los datos personales actualmente registrados del usuario para revisar su información","Sistema muestra formulario con todos los datos del usuario","Desarrollador frontend","Media","1","Mostrar únicamente los datos necesarios según el perfil autorizado."
"HU-07.2","Gestión Administrativa","Actualización de datos personales","Administrador","Como administrador quiero actualizar los datos personales de un usuario para corregir o modificar su información","Sistema permite editar campos y guarda cambios","Desarrollador full stack","Media","2","Registrar quién realizó el cambio y conservar trazabilidad."
"HU-07.3","Gestión Administrativa","Confirmación de actualización","Administrador","Como administrador quiero recibir confirmación de que los datos fueron actualizados exitosamente","Sistema muestra mensaje de confirmación","Desarrollador frontend","Media","1","Confirmar la actualización solo después de guardar correctamente."
